0 46.000004
1 12.0
2 9.999996
3 8.999997
4 10.999995
5 6.999999
6 6.0
7 7.0000052
8 4.999995
9 5.000001
10 5.9999943
11 3.000003
12 3.9999962
13 4.000002
14 4.999995
15 6.999999
16 2.9999971
17 1.9999981
18 2.9999971
19 3.000003
20 2.9999971
21 2.000004
22 2.9999971
23 2.000004
24 3.000003
25 4.999995
26 2.9999971
27 1.9999981
28 3.9999962
29 5.9999943
30 3.000003
31 1.9999981
32 2.9999971
33 1.9999981
34 2.9999971
35 5.000007
36 3.9999962
37 4.999995
38 1.9999981
39 2.9999971
40 6.999999
41 2.9999971
42 3.000003
43 3.000003
44 4.999995
45 3.9999962
46 2.9999971
47 6.0
48 4.000002
49 3.9999962
50 1.9999981
51 2.9999971
52 4.000002
53 6.999999
54 5.000001
55 1.000005
56 3.000003
57 3.000003
58 1.9999981
59 5.000007
60 3.9999962
61 0.99999905
62 3.000003
63 1.000005
64 3.000003
65 6.9999933
66 3.9999962
67 3.000003
68 2.9999971
69 0.99999905
70 3.000003
71 6.000006
72 3.9999962
73 1.9999981
74 3.9999962
75 0.99999905
76 3.000003
77 3.9999962
78 2.9999971
79 1.9999981
80 2.9999971
81 1.000005
82 4.000002
83 2.9999971
84 3.000003
85 0.0
86 5.9999943
87 0.99999905
88 5.9999943
89 3.9999962
90 2.000004
91 3.000003
92 3.000003
93 0.99999905
94 4.999995
95 3.9999962
96 1.9999981
97 1.9999981
98 2.000004
99 1.000005
100 1.9999981
